Community name,Owner name,Industry,Location,Member range,Offer type,Funnel type,Fictional business website,Qualification reason,Lead score,Research notes
Harbor Mentorship Circle,Avery Quinn,Business coaching,Austin TX area,400-600,Group coaching for freelance operators,Application form,https://harbor-mentorship.example.com,Member range fit + clear coaching offer + visible application path,92,Owner named on about page; public services site; not celebrity-led
Northpine Advisors Forum,Jordan Hale,Management consulting,Remote US,250-350,Boutique consulting for specialist agencies,Book a consult,https://northpine-advisors.example.com,Consulting offer with scheduler and identifiable founder,88,Founder photo and bio public; Calendly-style consult CTA verified
Brightfield Practice Lab,Riley Cooper,Professional services training,Manchester UK,700-900,Training for independent practitioners,Cohort application,https://brightfield-lab.example.com,In-range community with paid cohort application funnel,85,Application page lists programme fees publicly; owner host profile linked
Cedar & Course Collective,Sam Okonkwo,Course creator education,Toronto CA,150-250,Consulting for service-based course sellers,Discovery call,https://cedarcourse.example.com,Sells consulting not only content; owner clear; mid-size community,84,Strong fit for service-led community operators; public LinkedIn-style bio linked from site
Lumen Ops Network,Casey Nguyen,Operations consulting,Denver CO area,300-450,Ops retainers for boutique studios,Work-with-me enquiry,https://lumenops.example.com,Professional services positioning and enquiry funnel present,81,Member count estimated from public badge; commercial intent clear
Willow Clinic Growth Room,Morgan Ellis,Healthcare practice consulting,Leeds UK,500-700,Consulting for clinic owners,Strategy call booking,https://willowclinicgrowth.example.com,Niche pro-services community with booking path and owner identity,80,Exclude patient data topics; business consulting angle only
Pilotlight Freelance Guild,Taylor Brooks,Freelance consulting,Remote EU,100-200,1:1 consulting for senior freelancers,Application then call,https://pilotlightguild.example.com,Smaller community still in range with dual-step funnel,78,Good example of lean owner-led community; public FAQ explains who it is for
Summit Sketch Leadership Room,Jamie Patel,Leadership coaching,Singapore,800-1000,Executive coaching pods,Booking page,https://summitsketch.example.com,Upper end of size range but owner still visible and bookable,76,Watch for scale-up to mega-audience later; currently non-celebrity
Riverlane Specialist Circle,Cameron Wright,B2B specialist services,Chicago IL area,200-300,Specialist advisory retainers,Consultation form,https://riverlane-circle.example.com,Clear advisory offer + form funnel + local professional presence,75,Industry match strong; confirm service packaging on public pricing page
Oak & Metric Operators Club,Reese Fontaine,Analytics consulting,Remote AU/NZ,350-500,Consulting for service firms using data,Call scheduler,https://oakmetric.example.com,Meets size offer owner and funnel checks with public professional site,74,Useful sample of analytics-adjacent professional services community
